,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
116,"Apartments in Casco Viejo, San Felipe | Casco Antiguo, Venta apartamento 125m2 - Casa Montefiore, 1 recámara $370,000","B/.370,000.00",125,1,1.5,NaN
117,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Oasis On The Bay","B/.225,000.00",99,1,2,1
118,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Dupont","B/.250,000.00",126,1,1.5,1
119,Apartments in Punta Pacífica | Apartment for sale Punta Pacífica LAC,"B/.330,000.00",182.67,3,3.5,2
120,Apartments in San Francisco | GANGA!!! SUPER REBAJADO - EN SAN FRANCISCO - 7400,"B/.280,000.00
 (Reduced 11%)",190,3,3.5,2
121,Apartments in Altos de Golf | Park Views From High Above San Francisco,"B/.240,000.00",126,1,1.5,1
122,"Apartments in Costa del Este | Apartamento, Ph Elite, La Cresta, Bella Vista","B/.500,000.00",400,4,4,3
123,"Apartments in Vía Transístmica | PH Cosmopolitan Tower, Transistmica – Beautiful apartment for sale","B/.200,000.00",95,2,2,1
124,Apartments in Coco del Mar | Apartment for sale in Vía Israel LAC,"B/.180,000.00",93.5,2,2,2
125,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Pacific Point","B/.1,000,000.00",340,3,4,2
126,Apartments in Altos de Panamá | Vendo apartamento en Altos de Panamá en Altamira Gardens,"B/.115,000.00",75,2,2,2
127,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Oasis On The Bay","B/.260,000.00",93,2,1.5,1
128,"Apartments in San Francisco | Se vende apartamento en San Francisco, Ph Marina Plaza","B/.312,000.00",155,2,2,1
129,Apartments in Avenida Balboa | IN BEAUTIFUL VIEW ONE BLOCK FROM AV BALBOA,"B/.415,000.00",186,3,3.5,2
130,Apartments in Clayton | Apartment at PH Embassy Village,"B/.310,000.00",158,4,2,2
131,Apartments in Punta Pacífica | VENDO apto de 3 recamaras en Costa Pacifica - Punta Pacifica,"B/.320,000.00",182,3,3.5,2
132,Apartments in Punta Pacífica | Beautiful 3 story penthouse for sale in Punta Pacifica,"B/.3,800,000.00",1135,4,5,5
133,"Apartments in Carrasquilla | VIA ESPAÑA,APARTAMENTOS EN PREVENTA- ABONO INICIAL CON FACILIDADES","B/.178,710.00",69,2,2,1
134,Apartments in San Francisco | Apartamento Portofino - Trato directo con Propietario,"B/.220,000.00",96,2,2,2
135,Apartments in Punta Pacífica | Se Vende | Perfecto Para Ejecutivos | 1 Bdrm en The Ocean Club (Trump),"B/.340,000.00",98,1,1.5,1
136,Apartments in Ancón | Remate! Venta apartamento MC Gregor Point – Condado del Rey,"B/.119,600.00",87,3,2,1
137,Apartments in Punta Paitilla | Venta Apartamento D1 Tower Punta Paitilla,"B/.750,000.00",410,4,5,2
138,Apartments in Santa María | Venta Apartamento Empire Residences Santa Maria,"B/.899,000.00",322.4,3,4,2
139,Apartments in Punta Paitilla | Venta Apartamento Ocean Front Paitilla,"B/.736,000.00",320,3,4,2
140,Apartments in Punta Pacífica | Venta Apartamento Pacific Village Punta Pacifica,"B/.490,000.00",262,3,4,2
141,Apartments in Punta Paitilla | VENTA APARTAMENTO PUNTA DEL SOL PUNTA PAITILLA,"B/.790,000.00",600,4,5,5
142,Apartments in Vía Argentina | VENTA EXCELENTE APARTAMENTO,"B/.325,000.00",128,3,3,2
143,Apartments in Urbanización Don Bosco | SE VENDE APARTAMENTO EN DON BOSCO / JUAN DÍAZ,"B/.87,500.00",65,2,2,1
144,Apartments in Punta Pacífica | Se Vende Elegante Condominio 2 Bdrm en The Ocean Club (Trump) - Punta Pacifica,"B/.515,000.00",153,2,2.5,1
145,Apartments in Marbella | PH Twin Tower - Marbella Apt. for sale!!!,"B/.190,000.00
 (Reduced 3%)",129.16,2,3,3
146,Apartments in Costa del Este | FOR SALE OR RENT APARTMENT IN COSTA DEL ESTE,"B/.750,000.00",290,3,3.5,3
147,Apartments in Costa del Este | Hermoso Apartamento en Venta en Costa del Este,"B/.670,000.00",291,4,4,1
148,Apartments in Avenida Balboa | Beautiful apartment for Sale in Avenida Balboa,"B/.1,300,000.00",520,4,4.5,2
149,Apartments in Vía Cincuentenario | APT-087 – PH 4 Islas – Via Cincuentenario – Apartment for sale!!!,"B/.130,000.00",75,3,2,2
150,Apartments in San Francisco | Apartamento en venta en San Francisco 22-9826 MMC,"B/.205,000.00",123,2,2,1
151,Apartments in Punta Pacífica | EN VENTA | Vista completa al mar | 2 Bdrm en The Ocean Club (Trump) - Punta Pacífica,"B/.475,000.00",153,2,2.5,1
152,Apartments in San Francisco | Apartamento en venta en San Francisco 22-938 MMC,"B/.300,000.00",146,3,2,2
