price,area,beds,baths,parkings
454520.0,183.35,4,2.0,2
120000.0,74.36,2,2.0,1
155250.0,89.79,3,2.0,1
95000.0,50.0,2,2.5,1
179500.0,120.0,3,2.0,2
350000.0,200.56,3,3.5,2
299000.0,159.0,3,4.0,2
168000.0,60.0,1,1.0,1
375000.0,125.0,2,2.0,1
576000.0,376.0,3,3.5,2
950000.0,320.0,3,3.5,3
399000.0,210.0,3,4.0,1
355000.0,145.0,3,3.0,2
235000.0,94.0,2,2.0,1
310000.0,140.0,3,2.0,2
135000.0,82.0,3,2.0,1
199000.0,135.0,3,2.0,2
250000.0,171.74,3,2.5,2
582500.0,233.0,3,3.0,2
125000.0,56.0,1,2.0,1
290000.0,160.0,3,2.5,2
115000.0,72.0,2,2.0,1
235000.0,134.18,2,2.0,2
97000.0,66.0,2,1.0,1
318000.0,107.0,2,2.0,2
122000.0,87.25,3,2.0,1
135000.0,80.0,2,2.0,1
265000.0,125.0,2,2.0,2
294000.0,120.0,3,2.0,2
105000.0,55.1,2,2.0,1
199000.0,147.15,2,2.0,2
90000.0,58.0,2,1.0,1
290000.0,134.0,2,2.0,1
980000.0,235.94,3,3.5,2
255000.0,115.41,2,2.0,2
178800.0,86.0,2,2.0,1
98000.0,65.0,2,1.0,1
585000.0,238.0,3,3.5,2
190000.0,95.0,1,1.5,1
315000.0,154.0,3,2.0,2
85000.0,52.0,2,1.0,1
180000.0,95.0,3,2.0,1
250000.0,115.0,2,3.0,1
115000.0,77.76,2,2.0,1
240000.0,197.0,3,3.0,2
1290000.0,425.0,4,4.5,4
140000.0,70.0,2,2.0,1
135000.0,95.61,3,2.0,1
300000.0,240.0,3,3.0,2
380000.0,209.0,3,3.5,2
300000.0,160.0,2,2.5,2
105000.0,64.0,2,2.0,1
1009350.0,381.0,4,4.5,3
340000.0,209.0,3,3.5,3
400000.0,157.0,2,2.0,1
898350.0,339.0,3,3.5,3
239000.0,156.0,3,3.5,2
525000.0,300.0,3,2.0,2
1200000.0,400.0,4,4.5,3
680000.0,300.0,3,3.5,3
260000.0,180.0,2,3.0,1
185000.0,97.0,2,2.0,2
250000.0,180.0,3,3.0,2
1036000.0,370.0,4,4.5,4
150000.0,80.0,2,2.0,1
190000.0,120.0,2,2.0,1
670000.0,293.0,3,3.5,2
350000.0,290.0,3,2.0,2
1200000.0,391.0,3,3.5,3
95000.0,80.0,2,2.0,1
405000.0,145.0,3,3.5,2
375000.0,153.0,3,3.5,2
1100000.0,400.0,3,3.5,4
175000.0,95.0,2,2.5,2
185000.0,98.0,2,2.0,1
380000.0,250.0,2,2.5,2
750000.0,519.0,3,3.0,3
220000.0,117.0,2,2.0,1
300000.0,145.0,3,2.0,2
230000.0,146.0,3,2.0,2
190000.0,85.0,2,2.0,1
620000.0,298.0,3,3.5,3
145000.0,87.0,2,2.0,1
165000.0,97.0,3,3.0,1
190000.0,124.0,3,3.0,2
122000.0,70.0,2,2.0,2
420000.0,231.0,3,3.0,2
430000.0,209.0,3,3.0,2
330000.0,135.0,2,2.5,2
115000.0,69.0,2,2.0,1
184368.0,80.16,2,2.0,1
330000.0,148.51,3,2.0,2
155000.0,133.0,2,2.0,1
165000.0,98.0,3,2.0,2
135000.0,85.0,2,2.0,1
205000.0,138.0,3,2.0,2
275000.0,204.0,3,4.0,2
357000.0,180.0,3,5.0,2
135000.0,82.0,2,2.0,1
340000.0,151.0,3,2.5,2
339000.0,98.0,1,1.5,1
230000.0,146.0,3,2.0,2
160000.0,99.0,3,2.0,1
200850.0,103.0,2,2.0,1
149000.0,104.0,2,2.0,1
175500.0,90.0,2,2.0,1
220000.0,98.0,2,2.0,1
1450000.0,500.0,3,3.5,3
110000.0,53.0,2,2.0,1
154050.0,79.0,2,2.0,1
195000.0,125.0,3,2.0,2
120000.0,72.0,2,2.0,1
265000.0,120.0,3,2.0,2
138000.0,78.0,2,2.0,1
117000.0,60.0,2,1.0,1
459000.0,171.0,2,2.0,2
78000.0,62.0,2,1.0,1
330000.0,178.0,3,2.5,2
155000.0,97.0,2,2.5,1
560000.0,343.64,3,3.5,2
365000.0,150.0,1,1.0,1
345000.0,184.0,3,4.5,2
560000.0,308.47,3,3.5,1
145000.0,97.0,3,2.0,2
85000.0,82.0,2,2.0,1
286000.0,123.0,1,2.0,1
995000.0,450.0,4,4.5,3
220000.0,100.0,1,1.5,1
145000.0,101.0,3,2.0,2
188000.0,83.0,2,2.0,1
540000.0,171.0,2,2.5,2
110000.0,50.0,2,2.0,1
475000.0,292.27,3,4.5,2
275000.0,174.0,1,1.5,2
270000.0,165.0,2,2.0,2
350000.0,95.0,2,2.0,1
695000.0,386.0,4,4.5,3
255000.0,48.87,1,1.0,1
92000.0,73.0,3,2.0,1
160000.0,90.0,2,2.0,1
145000.0,77.0,2,2.0,1
375000.0,202.0,3,3.5,2
425000.0,219.0,3,3.5,2
750000.0,269.0,3,3.5,3
160000.0,115.0,3,2.0,1
300000.0,178.0,2,2.0,2
690000.0,252.02,3,3.5,2
1500000.0,550.0,4,4.5,3
595000.0,309.0,3,3.5,2
260000.0,141.06,3,3.0,2
1066800.0,381.0,3,3.0,3
1150000.0,391.0,3,3.0,3
1500000.0,600.0,4,4.5,3
485000.0,330.0,3,3.5,2
114000.0,61.0,2,2.0,1
114000.0,61.0,2,2.0,1
700000.0,350.0,4,3.5,3
580000.0,210.0,2,2.5,2
875000.0,306.0,3,3.5,3
140000.0,85.0,2,2.0,2
1320000.0,442.0,3,3.5,3
552000.0,335.0,3,4.0,3
165000.0,115.0,3,2.0,1
170000.0,100.0,2,2.0,1
145000.0,96.0,3,2.0,2
159479.0,61.0,2,2.0,1
145000.0,96.0,3,2.0,2
360000.0,132.0,3,3.5,2
770000.0,349.0,4,4.5,3
110000.0,110.0,2,2.0,1
360000.0,190.0,3,3.5,1
260000.0,159.0,3,3.0,2
230000.0,170.0,2,3.0,1
1598500.0,689.0,4,4.0,3
196500.0,96.0,3,2.0,2
220000.0,113.0,3,2.0,2
575000.0,190.0,3,3.0,2
699750.0,190.0,3,3.0,2
329640.0,90.0,2,2.0,2
626658.0,161.0,3,2.0,2
1450000.0,560.0,4,5.0,6
305000.0,140.0,2,2.0,1
467600.0,155.0,2,2.0,2
350000.0,186.0,3,4.0,3
179000.0,107.0,2,2.0,1
350000.0,136.0,2,2.0,2
