,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
108,Apartments in Punta Pacífica | VENDO APTO EN PACIFIC VILLAGE,"B/.470,000.00",266,3,3.5,2
109,Apartments in El Cangrejo | Venta de Apartamento en PH Vita Bella totalmente amueblado!,"B/.130,000.00",72,1,1,1
110,"Apartments in Punta Pacífica | BEAUTIFUL PENTHOUSE ""THE SKY"" PH PACIFIC VILLAGE, SALE","B/.1,200,000.00",822.61,3,4,4
111,Apartments in Punta Pacífica | OCEAN REEF - PUNTA PACIFICA,"B/.2,200,000.00",502,4,4,3
112,"Apartments in 12 de Octubre | 12 de octubre Venta apartamento 3 REC + 2 Parkings U$ 195,000.=","B/.195,000.00",100,3,2,2
113,Apartments in Parque Lefevre | Apartamentos PH Epoca (pronta entrega),"B/.125,300.00
 (Reduced 4%)",50,2,2,1
114,"Apartments in San Francisco | Venta de apartamento en The Tower, San Francisco","B/.450,000.00",200,3,3.5,2
115,Apartments in Betania | VENDO APARTAMENTO EL CANGREJO,"B/.250,000.00",115,2,3,2
116,Apartments in Costa del Este | Venta de apartamentos en Costa del Este (Country Club/Altamar/Panama Bay) GTA,"B/.531,000.00",335.23,3,3,2
117,Apartments in Albrook | BELLO APARTAMENTO VENTA ALBROOK,"B/.215,000.00",140,3,2,2
118,"Apartments in El Ingenio | SE VENDE APARTAMENTO 114mts, CON TERRAZA, BETHANIA 2 HABITACIONES 2 BAÑOS","B/.129,000.00
 (Reduced 1%)",114,2,2,2
119,Apartments in Vía Tocumen | EXCELENTE OPORTUNIDAD VENTA PH MYSTIC HILLS,"B/.110,000.00",95,2,1,1
120,Apartments in Obarrio | APARTAMENTO VENTA OBARRIO,"B/.160,000.00",95,2,2,1
121,"Apartments in Coco del Mar | ID 3188 FRENTE AL MAR, 3.5 BAÑOS + ESTUDIO","B/.250,000.00
 (Reduced 13%)",160,3,3.5,2
122,"Apartments in Bella Vista | MODERNO APARTAMENTO LOFT (2 NIVELES), EN BELLA VISTA, 158mts2","B/.365,000.00",158,2,3,2
123,"Apartments in Bella Vista | Bella Vista apartamento con 3 recamaras + 2 parkings U$ 229,500","B/.229,500.00",107,3,2,2
124,"Apartments in Avenida Balboa | A 100 mts de avenida Balboa , hermoso apartamento con Muebles + 3 parkings +deposito","B/.285,000.00",160,3,2.5,3
