,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
127,Apartments in Campo Alegre | Hermoso Apartamento Remodelado,"B/.270,000.00",170,2,2.5,2
128,"Apartments in 12 de Octubre | Ganga , venta 100,000","B/.100,000.00",64,2,1,1
129,Venta Albatross Santa María,"B/.950,000.00",339,3,3,3
130,"✅✅ ARMONIA en Cinta Costera, Invierte en TU FUTURO","B/.124,400.00",45.24,1,1,NaN
131,"Apartments in Rio Abajo | PH TORRES DE ESPAÑA – VENTA APARTAMENTO $115,000USD","B/.115,000.00",80,3,2,1
132,Apartments in Punta Pacífica | Apartment for Sale in Punta Pacifica Mystic Point,"B/.250,000.00",163,3,3,2
133,Apartments in Costa del Este | P.H. Mirador in Costa del Este for Sale,"B/.490,000.00",200,3,3.5,2
134,Apartments in Punta Paitilla | Venta P. H. Las Hadas| Apartamento,"B/.430,000.00
 (Reduced 2%)",39000,3,3.5,3
135,Apartments in Panama City | APARTAMENTO EN VENTA EN VILLA DE LAS FUENTES...,"B/.173,000.00
 (Reduced 4%)",120,2,2.5,1
136,"Apartments in Punta Pacífica | GANGA VENDO APTO. EN PUNTA PACIFICA PH COSTA PACIFICA 142M AMOBLADO 300,000","B/.300,000.00",142,3,4,2
137,Apartments in Punta Pacífica | UNIQUE apartment Pacific Point Torre torre 400,"B/.782,400.00",326,4,4,2
138,Apartments in San Francisco | Se Vende Apartamento en San Francisco ID8083,"B/.160,000.00
 (Reduced 6%)",114,2,2,1
139,Apartments in Villa de las Fuentes | FOR SALE Apartment in Villa de Las Fuentes,"B/.235,000.00
 (Reduced 1%)",153.4,3,3,2
140,Apartments in Vía Argentina | Penthouse for sale in El Cangrejo! Negotiable price.,"B/.375,000.00
 (Reduced 7%)",256,4,3.5,2
141,Apartments in Vía Brasil | Apartment for Sale in Via Brasil - P.H. Metric,"B/.160,000.00",86,2,2,1
142,Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica - PH PACIFIC POINT,"B/.790,000.00
 (Reduced 1%)",308,3,3.5,3
143,Apartments in Costa del Este | OFFER MATISSES APARTMENT FIRST LINE COSTA DEL ESTE,"B/.860,000.00",337,3,3.5,3
144,PH SOLANA 306M2 - 3REC - ULTIMAS UNIDADES - EN SANTA MARÍA,"B/.787,500.00",306,3,3,NaN
145,Marea II 707Mts2 - 1 Apto. por piso - Frente al Mar en Costa del Este,"B/.1,926,575.00",707,4,4,5
146,PH ARIA – 358M2 CON 4RECAMARAS - COSTA DEL ESTE VISTA PARQUE Y MAR,"B/.930,800.00",358,4,4,3
147,Apartments in Avenida Balboa | SPECTACULAR LOFT IN AV BALBOA FOR SALE,"B/.310,000.00",120,1,1.5,1
148,Apartments in Avenida Balboa | Hermoso apartamento cerca de ave Balboa! PH Bella Vista Park,"B/.319,950.00
 (Reduced 3%)",182,3,2.5,2
149,Apartments in Costa del Este | PENTHOUSE iN MIRADOR DEL ESTE - COSTA DEL ESTE,"B/.767,800.00",349,4,4.5,3
150,Apartments in Punta Pacífica | Venta de apartamento en el PH Q Tower con vistas al mar.,"B/.565,000.00",307,3,3.5,2
151,"Apartments in Albrook | Albrook Apartment for sell, PH Sun City 5ATb- 140m2)","B/.225,000.00",140,3,2,2
152,Apartments in Punta Paitilla | VENTA APARTAMENTO DAVIMAR PUNTA PAITILLA,"B/.405,000.00",320,3,3,5
153,Apartments in Punta Paitilla | VENTA APARTAMENTO COSTA PACIFICA AMOBLADO PUNTA PAITILLA,"B/.319,000.00
 (Reduced 3%)",199,3,4,2
