,add_title,add_price,add_area,add_time,add_room,add_loc,add_prom
155,APARTMENT FOR SALE IN RED PLAZA CASCO VIEJO BUILDING,260000.00,70 m2,10 days ago,1,"Casco Viejo, San Felipe",NaN
156,"Vendo apartamento en San Francisco, PH WaterFalls","72000.00
(Reduced 9%)",148 m2,10 days ago,3,San Francisco,NaN
157,"Oferta $72,000 Apto de 2 Recamaras 1 Baño y Balcon Cerrado. Parque Lefevre.",500000.00,55 m2,10 days ago,2,Parque Lefevre,NaN
158,"ID 3058 MEDIO, FRENTE AL MAR, ESTUDIO, 3 PARKINGS + DEPOSITO",338800.00,270 m2,10 days ago,3,Costa del Este,NaN
159,MYSTIC POINT (Ocean Business Plaza) with partial Ocean view,"132000.00
(Reduced 2%)",180 m2,10 days ago,3,Punta Pacífica,NaN
160,"2B, 2B",195000.00,69 m2,11 days ago,2,Condado del Rey,NaN
161,PH ROKAS TORRE 700,199900.00,106 m2,12 days ago,3,Ancón,NaN
162,"PH Park City, El Cangrejo",178500.00,120 m2,13 days ago,2,El Cangrejo,NaN
163,Venta de Apartamento PH HILL POINT 2 Estacionamientos,580000.00,92 m2,13 days ago,3,Carrasquilla,NaN
164,Sale Spectacular ocean view apartment Punta Pacifica,"270000.00
(Reduced 5%)",258 m2,13 days ago,3,Punta Pacífica,NaN
165,Hermoso Apartamento en Bella Vista Park recién remodelado,285000.00,160 m2,13 days ago,3,Bella Vista,NaN
166,✅✅ Apartamentos en SANTA MARIA - Ocean House,"365000.00
(Reduced 1%)",86.84 m2,13 days ago,2,Santa María,NaN
167,Costa del este ph Elevation PROPON LA FORMA DE PAGO,"216000.00
(Reduced 4%)",176 m2,13 days ago,3,Costa del Este,NaN
168,Edif. Arrecife PISO ALTO,"520000.00
(Reduced 5%)",120 m2,13 days ago,3,Punta Paitilla,NaN
169,Bahia Mar - Punta Paitila,1050000.00,298 m2,13 days ago,3,Punta Paitilla,NaN
170,Dupont Tower - Punta Pacifica,620000.00,480 m2,14 days ago,4,Punta Pacífica,NaN
171,Puntarenas - Coco del Mar,112000.00,337 m2,14 days ago,3,Coco del Mar,NaN
172,Apartment for Sale,339000.00,65 m2,14 days ago,2,El Crisol,NaN
173,En Venta Apartamento Con Terraza Espectacular En San Francisco PH TERRASOL,"930000.00
(Reduced 3%)",200 m2,14 days ago,3,San Francisco,NaN
174,Pacific Point Torre 200 - Punta Pacífica - Se Vende Lujoso Apartamento,85000.00,394.86 m2,14 days ago,3,Punta Pacífica,NaN
175,VENDO Apartamento 57m2 | RIO ABAJO | 2 REC. + 1 BAÑO | EXCELENTE OPORTUNIDAD DE INVERSIÓN,255000.00,57 m2,14 days ago,2,Rio Abajo,NaN
176,Se vende - PH GV43 - Bella Vista - Avenida Balboa,"249500.00
(Reduced 26%)",109 m2,15 days ago,2,Avenida Balboa,NaN
177,PH ALLURE AT THE PARK AVE BALBOA - VENTA RAPIDA,"300000.00
(Reduced 5%)",135 m2,15 days ago,2,Avenida Balboa,NaN
178,Edificio EAST COAST TOWER,"3700000.00
(Reduced 12%)",161 m2,15 days ago,3,Costa del Este,NaN
179,Se vende exclusiva propiedad en Ocean Reef,695000.00,748.02 m2,15 days ago,3,Punta Pacífica,NaN
180,Miramar - Avenida Balboa - Se Vende exclusivo apartamento,360000.00,375 m2,15 days ago,3,Avenida Balboa,NaN
181,VENTA OCEANSKY APARTAMENTO FRENTE AL MAR,199000.00,163 m2,16 days ago,2,Panama City,NaN
182,Sale Illuminated Apartment city and sea view 22-8712mfk,"140000.00
(Reduced 4%)",124 m2,16 days ago,3,San Francisco,NaN
183,"VENDO APARTAMENTO, CONDADO DEL REY PH KINGS PARK, 2 RECAMARAS + CBE 101mts",390000.00,101 m2,16 days ago,2,Condado del Rey,NaN
184,Apartamento en venta en El Cangrejo. Loft de 200m2,285000.00,200 m2,16 days ago,2,Vía Argentina,NaN
185,Apartment for sale of 161 Mts.2 model C in the Yacht Club tower,"375000.00
(Reduced 7%)",161 m2,17 days ago,2,Avenida Balboa,NaN
186,Penthouse for sale in El Cangrejo! Negotiable price.,200000.00,256 m2,17 days ago,4,Vía Argentina,NaN
187,VENDO APARTAMENTO NUEVO POR ESTRENAR EN EDISON PARK PH VIVENDI GREEN PISO ALTO,"185000.00
(Reduced 5%)",86 m2,17 days ago,2,Edison Park,NaN
188,Venta GANGA san francisco apartamento 185k,1350000.00,98 m2,17 days ago,3,San Francisco,NaN
189,OCEAN REEF BEACH CLUB APARTAMENTO C1 NIVEL 200 FASE 3 CON ACCESO A MUELLE,170000.00,264 m2,17 days ago,3,Punta Pacífica,NaN
190,Apartment for Sale in Via Brasil - P.H. Metric,750000.00,86 m2,17 days ago,2,Vía Brasil,NaN
191,APARTAMENTO EN VENTA EN COSTA DEL ESTE,"290000.00
(Reduced 3%)",347 m2,18 days ago,3,Costa del Este,NaN
192,Bello Apartamento en Terrazas del Cangrejo!,"370000.00
(Reduced 6%)",230 m2,20 days ago,4,El Cangrejo,NaN
