,add_title,add_price,add_area,add_room,add_loc
11160,PH_Grand_Tower__Punta_Pac_fica___Beautiful_modern_family_apartment,160000.0,208.0,3,Punta_Pac_fica
11161,PH_Metric__Via_Brasil___Furnished_two_bedroom_apartment,130500.0,87.0,2,Obarrio
11162,PH_Van_Gogh__El_Cangrejo___To_deliver_beginning_of_2022,120000.0,71.0,2,El_Cangrejo
11163,Penthouse_apartment_in_Diablo__Anc_n__PH_Provenza__4_bedrooms__459m_,87000.0,459.0,4,Diablo
11164,Tucan_Country_Club_apartamento_con_terraza_en_azotea,85000.0,280.0,2,Cocoli
11165,Apartment_for_sale_in_V_a_Israel_LAC_22_1137,180000.0,95.0,2,Coco_del_Mar
11166,Apartamento_en_Puntarena_en_Buenaventura_Farallon,80000.0,150.0,2,El_Farall_n
11167,Penthouse_de_dos_niveles_moderno_en_San_Francisco,130000.0,230.0,3,San_Francisco
11168,SEA_Confiable_Vende_Apartamento_en_PH_Plaza_Camino_Real_de_Betania,220500.0,99.0,2,Betania
11169,Remato_Rokas,300000.0,96.0,3,Anc_n
11170,VENDO_APARTAMENTO_EN_EL_CENTRO_DE_LA_CIUDAD_CON_SU_PRESTIGIOSA_ELEGANCIA_EL_PH_EN_BELLA_VISTA,215000.0,98.0,2,12_de_Octubre
11171,HERMOSO_APARTAMENTO_EN_VILLA_CATALINA_CERCA_DE_LA_ESTACI_N_DON_BOSCO_PH_MYSTEC_VILLAGE,189000.0,6163.0,2,V_a_Tocumen
11172,Se_vende_apartamento_en_PH_Solana___Santa_Mar_a_Golf___Country_Club,325000.0,305.0,3,Santa_Mar_a
11173,Impeccable_Ocean_Views_at_Bijao,95000.0,120.0,2,Playas
11174,Espectacular__Apartamento_Ph_Costa_del_Mar,260000.0,240.0,3,Marbella
11175,Se_vende___Torres_de_Versalles,235000.0,95.61,3,Juan_Diaz
11176,Se_vende___Ph_Horizonte___Coco_del_Mar,235000.0,207.0,3,Coco_del_Mar
11177,Se_vende___PH_Oasis_on_the_bay___Punta_pac_fica,325000.0,240.0,2,Punta_Pac_fica
11178,Se_vende_apartamento_en_Punta_Pacifica__Ph_Pacific_Wind,135000.0,96.0,3,Punta_Pac_fica
